wl,n
0.91345,5.554
0.91502,5.560
0.91659,5.567
0.91816,5.574
0.91973,5.581
0.92130,5.587
0.92286,5.594
0.92443,5.601
0.92600,5.607
0.92757,5.614
0.92914,5.620
0.93071,5.627
0.93228,5.633
0.93385,5.640
0.93541,5.646
0.93698,5.652
0.93855,5.659
0.94012,5.665
0.94169,5.671
0.94325,5.678
0.94482,5.684
0.94639,5.690
0.94796,5.696
0.94952,5.702
0.95109,5.708
0.95266,5.714
0.95422,5.721
0.95579,5.727
0.95736,5.733
0.95892,5.738
0.96049,5.744
0.96205,5.750
0.96362,5.756
0.96518,5.762
0.96675,5.768
0.96832,5.774
0.96988,5.779
0.97145,5.785
0.97301,5.791
0.97457,5.796
0.97614,5.802
0.97770,5.808
0.97927,5.813
0.98083,5.819
0.98240,5.824
0.98396,5.830
0.98552,5.835
0.98709,5.841
0.98865,5.846
0.99021,5.851
0.99177,5.857
0.99334,5.862
0.99490,5.867
0.99646,5.873
0.99802,5.878
0.99959,5.883
1.0115,5.922
1.0149,5.933
1.0183,5.943
1.0218,5.954
1.0252,5.964
1.0286,5.975
1.0320,5.985
1.0354,5.995
1.0388,6.005
1.0422,6.015
1.0456,6.024
1.0491,6.034
1.0525,6.043
1.0559,6.053
1.0593,6.062
1.0627,6.071
1.0661,6.080
1.0695,6.089
1.0730,6.097
1.0764,6.106
1.0798,6.114
1.0832,6.123
1.0866,6.131
1.0900,6.139
1.0935,6.147
1.0969,6.155
1.1003,6.163
1.1037,6.171
1.1071,6.178
1.1105,6.186
1.1140,6.193
1.1174,6.200
1.1208,6.207
1.1242,6.214
1.1276,6.221
1.1311,6.228
1.1345,6.235
1.1379,6.242
1.1413,6.248
1.1447,6.254
1.1482,6.261
1.1516,6.267
1.1550,6.273
1.1584,6.279
1.1619,6.285
1.1653,6.291
1.1687,6.296
1.1721,6.302
1.1756,6.308
1.1790,6.313
1.1824,6.318
1.1858,6.324
1.1893,6.329
1.1927,6.334
1.1961,6.339
1.1995,6.343
1.2030,6.348
1.2064,6.353
1.2098,6.357
1.2132,6.362
1.2167,6.366
1.2201,6.371
1.2235,6.375
1.2270,6.379
1.2304,6.383
1.2338,6.387
1.2373,6.391
1.2407,6.395
1.2441,6.398
1.2475,6.402
1.2510,6.406
1.2544,6.409
1.2578,6.412
1.2613,6.416
1.2647,6.419
1.2681,6.422
1.2716,6.425
1.2750,6.428
1.2784,6.431
1.2819,6.434
1.2853,6.437
1.2887,6.439
1.2922,6.442
1.2956,6.444
1.2990,6.447
1.3025,6.449
1.3059,6.452
1.3094,6.454
1.3128,6.456
1.3162,6.458
1.3197,6.460
1.3231,6.462
1.3265,6.464
1.3300,6.466
1.3334,6.468
1.3369,6.469
1.3403,6.471
1.3437,6.472
1.3472,6.474
1.3506,6.475
1.3541,6.477
1.3575,6.478
1.3609,6.479
1.3644,6.480
1.3678,6.481
1.3713,6.483
1.3747,6.484
1.3782,6.484
1.3816,6.485
1.3850,6.486
1.3885,6.487
1.3919,6.488
1.3954,6.488
1.3988,6.489
1.4023,6.489
1.4057,6.490
1.4092,6.490
1.4126,6.490
1.4160,6.491
1.4195,6.491
1.4229,6.491
1.4264,6.491
1.4298,6.491
1.4333,6.491
1.4367,6.491
1.4402,6.491
1.4436,6.491
1.4471,6.491
1.4505,6.491
1.4540,6.490
1.4574,6.490
1.4609,6.490
1.4643,6.489
1.4678,6.489
1.4712,6.488
1.4747,6.488
1.4781,6.487
1.4816,6.486
1.4850,6.486
1.4885,6.485
1.4919,6.484
1.4954,6.483
1.4988,6.482
1.5023,6.481
1.5057,6.481
1.5092,6.479
1.5127,6.478
1.5161,6.477
1.5196,6.476
1.5230,6.475
1.5265,6.474
1.5299,6.473
1.5334,6.471
1.5368,6.470
1.5403,6.468
1.5438,6.467
1.5472,6.466
1.5507,6.464
1.5541,6.463
1.5576,6.461
1.5610,6.459
1.5645,6.458
1.5680,6.456
1.5714,6.454
1.5749,6.453
1.5783,6.451
1.5818,6.449
1.5853,6.447
1.5887,6.445
1.5922,6.443
1.5957,6.441
1.5991,6.439
1.6026,6.437
1.6060,6.435
1.6095,6.433
1.6130,6.431
1.6164,6.429
1.6199,6.427
1.6234,6.424
1.6268,6.422
1.6303,6.420
1.6337,6.418
1.6372,6.415
1.6407,6.413
1.6441,6.411
1.6476,6.408
1.6511,6.406
1.6545,6.403
1.6580,6.401
1.6600,6.399
1.6615,6.398
1.6649,6.396
1.6684,6.393
1.6699,6.392
1.6719,6.390
1.6754,6.388
1.6788,6.385
1.6799,6.384
1.6823,6.382
1.6858,6.380
1.6892,6.377
1.6900,6.376
1.7000,6.368
1.7098,6.360
1.7200,6.352
1.7297,6.343
1.7399,6.334
1.7499,6.326
1.7600,6.316
1.7699,6.307
1.7799,6.298
1.7898,6.288
1.7997,6.279
1.8097,6.269
1.8199,6.259
1.8299,6.249
1.8399,6.239
1.8498,6.229
1.8597,6.218
1.8698,6.208
1.8800,6.197
1.8899,6.187
1.8999,6.176
1.9097,6.165
1.9200,6.154
1.9300,6.143
1.9397,6.133
1.9499,6.122
1.9599,6.111
1.9700,6.100
1.9797,6.089
1.9900,6.077
2.0000,6.066
2.0097,6.055
2.0198,6.044
2.0297,6.033
2.0397,6.022
2.0498,6.011
2.0600,5.999
2.0698,5.988
2.0798,5.977
2.0898,5.966
2.0996,5.955
2.1098,5.944
2.1197,5.933
2.1298,5.922
2.1399,5.911
2.1496,5.901
2.1599,5.889
2.1699,5.879
2.1799,5.868
2.1896,5.858
2.1998,5.848
2.2096,5.838
2.2196,5.828
2.2296,5.818
2.2397,5.808
2.2499,5.798
2.2597,5.789
2.2696,5.779
2.2796,5.770
2.2896,5.761
2.2998,5.753
2.3095,5.745
2.3199,5.737
2.3298,5.729
2.3398,5.722
2.3498,5.715
2.3600,5.708
2.3697,5.702
2.3795,5.696
2.3899,5.690
2.3999,5.684
2.4099,5.678
2.4195,5.673
2.4297,5.667
2.4400,5.662
2.4498,5.657
2.4596,5.652
2.4696,5.647
2.4796,5.642
2.4898,5.637
2.5000,5.632
2.5096,5.628
2.5194,5.624
2.5298,5.619
2.5398,5.615
2.5497,5.611
2.5598,5.607
2.5700,5.602
2.5796,5.599
2.5899,5.595
2.5996,5.591
2.6094,5.587
2.6200,5.583
2.6299,5.580
2.6400,5.576
2.6494,5.573
2.6596,5.570
2.6699,5.566
2.6795,5.563
2.6900,5.559
2.6998,5.556
2.7096,5.553
2.7196,5.550
2.7296,5.547
2.7397,5.544
2.7499,5.541
2.7594,5.538
2.7697,5.535
2.7794,5.533
2.7898,5.530
2.7996,5.527
2.8095,5.524
2.8194,5.522
2.8294,5.519
2.8395,5.517
2.8496,5.514
2.8599,5.511
2.8693,5.509
2.8797,5.507
2.8893,5.504
2.8998,5.502
2.9096,5.500
2.9194,5.497
2.9293,5.495
2.9393,5.493
2.9493,5.491
2.9594,5.488
2.9696,5.486
2.9798,5.484
2.9893,5.482
2.9997,5.480
3.0092,5.478
3.0197,5.476
3.0295,5.474
3.0392,5.472
3.0499,5.470
3.0598,5.468
3.0698,5.466
3.0798,5.464
3.0899,5.463
3.0992,5.461
3.1094,5.459
3.1197,5.457
