wl,n
3.3962,4.1083
3.4062,4.124
3.4162,4.1398
3.4262,4.1555
3.4362,4.1713
3.4462,4.1871
3.4562,4.2029
3.4662,4.2186
3.4762,4.2344
3.4862,4.2501
3.4962,4.2659
3.5062,4.2817
3.5162,4.2975
3.5262,4.3132
3.5362,4.329
3.5462,4.3448
3.5562,4.3606
3.5662,4.3764
3.5762,4.3922
3.5862,4.4081
3.5962,4.4239
3.6062,4.4397
3.6162,4.4555
3.6262,4.4714
3.6362,4.4872
3.6462,4.503
3.6562,4.5189
3.6662,4.5348
3.6762,4.5507
3.6862,4.5666
3.6962,4.5826
3.7062,4.5985
3.7162,4.6144
3.7262,4.6303
3.7362,4.6462
3.7462,4.6621
3.7562,4.6779
3.7662,4.6938
3.7762,4.7096
3.7862,4.7253
3.7962,4.741
3.8062,4.7567
3.8162,4.7724
3.8262,4.7881
3.8362,4.8037
3.8462,4.8193
3.8562,4.8349
3.8662,4.8505
3.8762,4.866
3.8862,4.8816
3.8962,4.8971
3.9062,4.9126
3.9162,4.9282
3.9262,4.9437
3.9362,4.9592
3.9462,4.9747
3.9562,4.9902
3.9662,5.0057
3.9762,5.0211
3.9862,5.0365
3.9962,5.0519
4.0062,5.0673
4.0162,5.0827
4.0262,5.0981
4.0362,5.1135
4.0462,5.1288
4.0562,5.1443
4.0662,5.1597
4.0762,5.1752
4.0862,5.1907
4.0962,5.2062
4.1062,5.2218
4.1162,5.2374
4.1262,5.2531
4.1362,5.2688
4.1462,5.2846
4.1562,5.3004
4.1662,5.3162
4.1762,5.332
4.1862,5.3478
4.1962,5.3636
4.2062,5.3794
4.2162,5.3952
4.2262,5.4109
4.2362,5.4265
4.2462,5.4422
4.2562,5.4577
4.2662,5.4732
4.2762,5.4887
4.2862,5.5041
4.2962,5.5195
4.3062,5.5348
4.3162,5.5501
4.3262,5.5654
4.3362,5.5807
4.3462,5.596
4.3562,5.6113
4.3662,5.6265
4.3762,5.6418
4.3862,5.657
4.3962,5.6722
4.4062,5.6875
4.4162,5.7027
4.4262,5.718
4.4362,5.7332
4.4462,5.7484
4.4562,5.7636
4.4662,5.7788
4.4762,5.7939
4.4862,5.8091
4.4962,5.8242
4.5062,5.8394
4.5162,5.8545
4.5262,5.8697
4.5362,5.8848
4.5462,5.9
4.5562,5.9151
4.5662,5.9303
4.5762,5.9455
4.5862,5.9607
4.5962,5.976
4.6062,5.9912
4.6162,6.0065
4.6262,6.0218
4.6362,6.037
4.6462,6.0523
4.6562,6.0676
4.6662,6.0828
4.6762,6.0979
4.6862,6.1131
4.6962,6.1282
4.7062,6.1432
4.7162,6.1582
4.7262,6.1731
4.7362,6.1879
4.7462,6.2026
4.7562,6.2172
4.7662,6.2318
4.7762,6.2463
4.7862,6.2608
4.7962,6.2752
4.8062,6.2897
4.8162,6.3041
4.8262,6.3186
4.8362,6.3332
4.8462,6.3478
4.8562,6.3625
4.8662,6.3772
4.8762,6.3921
4.8862,6.4071
4.8962,6.4222
4.9062,6.4375
4.9162,6.4528
4.9262,6.4682
4.9362,6.4837
4.9462,6.4992
4.9562,6.5147
4.9662,6.5301
4.9762,6.5456
4.9862,6.561
4.9962,6.5763
5.0062,6.5915
5.0162,6.6066
5.0262,6.6216
5.0362,6.6364
5.0462,6.6511
5.0562,6.6657
5.0662,6.6802
5.0762,6.6946
5.0862,6.7089
5.0962,6.7232
5.1062,6.7374
5.1162,6.7516
5.1262,6.7658
5.1362,6.78
5.1462,6.7941
5.1562,6.8083
5.1662,6.8225
5.1762,6.8368
5.1862,6.8511
5.1962,6.8654
5.2062,6.8798
5.2162,6.8942
5.2262,6.9085
5.2362,6.9229
5.2462,6.9373
