wl,n
5.18,2.2541
5.19,2.2599
5.2,2.2655
5.21,2.271
5.22,2.2765
5.23,2.2821
5.24,2.2877
5.25,2.2934
5.26,2.2992
5.27,2.3053
5.28,2.3113
5.29,2.3175
5.3,2.3236
5.31,2.3298
5.32,2.336
5.33,2.3423
5.34,2.3485
5.35,2.3546
5.36,2.3608
5.37,2.367
5.38,2.3732
5.39,2.3794
5.4,2.3856
5.41,2.3919
5.42,2.3981
5.43,2.4044
5.44,2.4107
5.45,2.417
5.46,2.4233
5.47,2.4297
5.48,2.436
5.49,2.4425
5.5,2.4489
5.51,2.4554
5.52,2.4619
5.53,2.4684
5.54,2.4749
5.55,2.4814
5.56,2.4879
5.57,2.4944
5.58,2.5009
5.59,2.5074
5.6,2.5139
5.61,2.5203
5.62,2.5268
5.63,2.5331
5.64,2.5394
5.65,2.5456
5.66,2.5518
5.67,2.5579
5.68,2.5639
5.69,2.5698
5.7,2.5758
5.71,2.5817
5.72,2.5875
5.73,2.5934
5.74,2.5993
5.75,2.6052
5.76,2.6111
5.77,2.6169
5.78,2.6227
5.79,2.6285
5.8,2.6344
5.81,2.6403
5.82,2.6463
5.83,2.6523
5.84,2.6585
5.85,2.6648
5.86,2.6712
5.87,2.6776
5.88,2.6841
5.89,2.6907
5.9,2.6973
5.91,2.704
5.92,2.7106
5.93,2.7173
5.94,2.7239
5.95,2.7305
5.96,2.7372
5.97,2.7439
5.98,2.7506
5.99,2.7573
6,2.764
6.01,2.7707
6.02,2.7774
6.03,2.7842
6.04,2.7909
6.05,2.7977
6.06,2.8044
6.07,2.8112
6.08,2.8179
6.09,2.8247
6.1,2.8313
6.11,2.838
6.12,2.8445
6.13,2.851
6.14,2.8574
6.15,2.8637
6.16,2.8699
6.17,2.8761
6.18,2.8823
6.19,2.8885
6.2,2.8947
6.21,2.901
6.22,2.9073
6.23,2.9137
6.24,2.9202
6.25,2.9267
6.26,2.9333
6.27,2.9398
6.28,2.9463
6.29,2.9528
