RegionID,AverageSaliency,MaximumSaliency
1,0.235987943761489,0.427450980392157
2,0.160127707088695,0.168627450980392
3,0.207004921109069,0.313725490196078
4,0.235344441731771,0.368627450980392
5,0.123867139629289,0.156862745098039
